0,1,2,3,4,5,6,7,8,9,10
frankfurter,margarine,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
soda,bottled water,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
waffles,yogurt,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
yogurt,coffee,,,,,,,,,
pastry,other vegetables,,,,,,,,,
frozen fish,bottled water,,,,,,,,,
sausage,yogurt,,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
tropical fruit,hard cheese,,,,,,,,,
flower soil/fertilizer,tropical fruit,,,,,,,,,
pork,yogurt,whole milk,,,,,,,,
other vegetables,yogurt,whole milk,spread cheese,,,,,,,
pork,ice cream,,,,,,,,,
cream,shopping bags,,,,,,,,,
pork,pastry,,,,,,,,,
citrus fruit,margarine,,,,,,,,,
bottled beer,canned vegetables,,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
rolls/buns,soda,,,,,,,,,
whipped/sour cream,candy,butter,,,,,,,,
UHT-milk,soda,,,,,,,,,
bottled water,bottled water,,,,,,,,,
whole milk,pork,UHT-milk,sliced cheese,beverages,,,,,,
butter,flour,fruit/vegetable juice,fruit/vegetable juice,,,,,,,
chicken,waffles,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
pork,butter milk,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
frozen dessert,detergent,,,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
other vegetables,beverages,ice cream,shopping bags,,,,,,,
yogurt,whole milk,pickled vegetables,long life bakery product,mustard,,,,,,
chicken,tropical fruit,,,,,,,,,
specialty chocolate,pasta,soda,long life bakery product,,,,,,,
pastry,candy,,,,,,,,,
tropical fruit,soda,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
pork,pork,male cosmetics,,,,,,,,
pork,liquor,,,,,,,,,
long life bakery product,ice cream,,,,,,,,,
butter,other vegetables,yogurt,,,,,,,,
whole milk,pickled vegetables,,,,,,,,,
chicken,white bread,,,,,,,,,
pip fruit,whole milk,butter milk,yogurt,,,,,,,
other vegetables,brown bread,,,,,,,,,
pip fruit,onions,,,,,,,,,
root vegetables,yogurt,whole milk,,,,,,,,
other vegetables,bottled water,,,,,,,,,
other vegetables,meat,,,,,,,,,
frankfurter,baking powder,condensed milk,coffee,,,,,,,
soda,beverages,,,,,,,,,
waffles,cereals,,,,,,,,,
sliced cheese,cream cheese ,semi-finished bread,,,,,,,,
turkey,newspapers,white wine,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
long life bakery product,waffles,,,,,,,,,
whole milk,berries,yogurt,,,,,,,,
root vegetables,bottled water,,,,,,,,,
citrus fruit,beef,,,,,,,,,
whole milk,bottled water,,,,,,,,,
curd,processed cheese,bottled water,pickled vegetables,,,,,,,
margarine,pastry,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
condensed milk,margarine,,,,,,,,,
pip fruit,canned beer,,,,,,,,,
pork,other vegetables,yogurt,shopping bags,soft cheese,detergent,,,,,
whipped/sour cream,whipped/sour cream,,,,,,,,,
hard cheese,white wine,,,,,,,,,
root vegetables,yogurt,butter,yogurt,,,,,,,
dessert,yogurt,shopping bags,,,,,,,,
tropical fruit,whipped/sour cream,hygiene articles,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
other vegetables,sausage,white bread,soda,,,,,,,
other vegetables,canned beer,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
meat,margarine,,,,,,,,,
canned beer,sugar,,,,,,,,,
frankfurter,curd,,,,,,,,,
whipped/sour cream,soda,white bread,snack products,,,,,,,
sausage,fruit/vegetable juice,coffee,,,,,,,,
root vegetables,liquor,sliced cheese,,,,,,,,
seasonal products,white wine,,,,,,,,,
turkey,whole milk,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
whole milk,root vegetables,canned vegetables,,,,,,,,
margarine,frozen meals,dish cleaner,yogurt,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
beef,whole milk,frozen vegetables,soda,,,,,,,
margarine,beverages,,,,,,,,,
packaged fruit/vegetables,waffles,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
soda,red/blush wine,,,,,,,,,
root vegetables,white bread,sliced cheese,,,,,,,,
citrus fruit,yogurt,salt,,,,,,,,
napkins,whole milk,,,,,,,,,
beef,brown bread,frozen fish,,,,,,,,
sausage,rolls/buns,pickled vegetables,,,,,,,,
waffles,bottled water,,,,,,,,,
pork,yogurt,butter milk,,,,,,,,
onions,coffee,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
soda,pet care,butter,,,,,,,,
frozen meals,bottled water,,,,,,,,,
other vegetables,other vegetables,dishes,,,,,,,,
root vegetables,grapes,soda,,,,,,,,
rolls/buns,citrus fruit,pot plants,yogurt,roll products ,fruit/vegetable juice,,,,,
meat,pip fruit,beverages,soda,,,,,,,
ham,domestic eggs,,,,,,,,,
sausage,butter,,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
curd,other vegetables,,,,,,,,,
soft cheese,soda,,,,,,,,,
berries,tropical fruit,rolls/buns,pastry,rolls/buns,whole milk,frozen vegetables,,,,
whole milk,curd cheese,root vegetables,pastry,,,,,,,
margarine,butter,,,,,,,,,
frankfurter,frankfurter,grapes,brown bread,,,,,,,
grapes,grapes,,,,,,,,,
fruit/vegetable juice,flower (seeds),,,,,,,,,
butter,chewing gum,,,,,,,,,
pork,ham,specialty chocolate,whole milk,long life bakery product,detergent,,,,,
sausage,whole milk,,,,,,,,,
canned beer,white bread,,,,,,,,,
salty snack,rolls/buns,butter,tropical fruit,pastry,root vegetables,fruit/vegetable juice,semi-finished bread,,,
berries,curd,,,,,,,,,
liver loaf,hamburger meat,sausage,whole milk,whipped/sour cream,other vegetables,white bread,whole milk,rolls/buns,,
yogurt,pip fruit,,,,,,,,,
sausage,domestic eggs,sugar,,,,,,,,
citrus fruit,other vegetables,pip fruit,pork,soda,yogurt,herbs,red/blush wine,,,
yogurt,photo/film,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
bottled water,coffee,,,,,,,,,
hygiene articles,shopping bags,,,,,,,,,
sausage,berries,,,,,,,,,
pip fruit,salty snack,pastry,,,,,,,,
sausage,napkins,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
ham,other vegetables,,,,,,,,,
frankfurter,beef,meat,waffles,whole milk,curd,white bread,frozen meals,sugar,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
whole milk,whole milk,,,,,,,,,
tropical fruit,ice cream,butter milk,domestic eggs,,,,,,,
bottled beer,shopping bags,,,,,,,,,
sausage,whole milk,,,,,,,,,
tropical fruit,coffee,,,,,,,,,
whole milk,cleaner,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
cream cheese ,cream cheese ,,,,,,,,,
chicken,coffee,,,,,,,,,
white bread,frozen vegetables,soda,,,,,,,,
coffee,sliced cheese,,,,,,,,,
yogurt,pasta,butter,rolls/buns,,,,,,,
soda,onions,,,,,,,,,
whole milk,white bread,canned beer,brown bread,fruit/vegetable juice,,,,,,
onions,canned fish,,,,,,,,,
sugar,whole milk,,,,,,,,,
ice cream,newspapers,,,,,,,,,
ham,bottled water,margarine,,,,,,,,
hamburger meat,chicken,butter,rolls/buns,,,,,,,
meat,beef,whole milk,other vegetables,grapes,whipped/sour cream,coffee,whole milk,,,
root vegetables,whole milk,bottled water,canned vegetables,,,,,,,
sauces,misc. beverages,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
beverages,canned vegetables,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
curd,pastry,,,,,,,,,
pip fruit,nut snack,napkins,,,,,,,,
napkins,coffee,,,,,,,,,
beef,meat,,,,,,,,,
whole milk,soda,root vegetables,pastry,specialty fat,bottled water,napkins,tropical fruit,,,
tropical fruit,oil,,,,,,,,,
tropical fruit,syrup,whole milk,,,,,,,,
ham,tidbits,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
soda,napkins,,,,,,,,,
yogurt,yogurt,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
curd,bottled water,tropical fruit,other vegetables,,,,,,,
dishes,chewing gum,,,,,,,,,
soda,whisky,,,,,,,,,
citrus fruit,whole milk,bottled water,,,,,,,,
tropical fruit,oil,,,,,,,,,
beef,citrus fruit,,,,,,,,,
liquor (appetizer),chocolate,soda,,,,,,,,
pork,other vegetables,,,,,,,,,
soda,beverages,,,,,,,,,
soda,sugar,,,,,,,,,
specialty chocolate,root vegetables,popcorn,soups,,,,,,,
misc. beverages,shopping bags,yogurt,,,,,,,,
sausage,mustard,,,,,,,,,
other vegetables,shopping bags,specialty bar,,,,,,,,
dessert,meat,,,,,,,,,
spread cheese,other vegetables,whole milk,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
pork,tropical fruit,seasonal products,,,,,,,,
semi-finished bread,waffles,,,,,,,,,
specialty bar,soda,,,,,,,,,
tropical fruit,citrus fruit,chocolate,,,,,,,,
other vegetables,soda,,,,,,,,,
root vegetables,baking powder,,,,,,,,,
bottled beer,oil,,,,,,,,,
whole milk,pork,,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
coffee,salty snack,,,,,,,,,
pip fruit,onions,domestic eggs,,,,,,,,
meat spreads,sliced cheese,,,,,,,,,
dessert,whole milk,,,,,,,,,
beef,Instant food products,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
photo/film,whole milk,,,,,,,,,
soda,whole milk,,,,,,,,,
other vegetables,candy,napkins,,,,,,,,
brown bread,cat food,,,,,,,,,
pip fruit,tropical fruit,whole milk,,,,,,,,
frozen vegetables,pasta,,,,,,,,,
other vegetables,skin care,,,,,,,,,
citrus fruit,processed cheese,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
ice cream,chocolate,seasonal products,,,,,,,,
canned beer,flour,,,,,,,,,
root vegetables,semi-finished bread,canned beer,newspapers,,,,,,,
beef,domestic eggs,,,,,,,,,
ham,dessert,,,,,,,,,
citrus fruit,butter,,,,,,,,,
pip fruit,frozen vegetables,bottled water,,,,,,,,
brown bread,yogurt,,,,,,,,,
butter milk,long life bakery product,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
pastry,curd,,,,,,,,,
chicken,herbs,,,,,,,,,
rolls/buns,cat food,beverages,,,,,,,,
whole milk,bottled water,,,,,,,,,
frankfurter,margarine,frozen vegetables,,,,,,,,
other vegetables,yogurt,,,,,,,,,
ice cream,chicken,rolls/buns,whole milk,,,,,,,
sausage,long life bakery product,curd,,,,,,,,
chocolate,sliced cheese,bottled water,oil,,,,,,,
pip fruit,frozen fish,,,,,,,,,
pickled vegetables,onions,,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
flour,tropical fruit,,,,,,,,,
soda,berries,root vegetables,bottled beer,,,,,,,
beef,soap,,,,,,,,,
canned beer,napkins,sparkling wine,,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
shopping bags,soda,,,,,,,,,
frankfurter,red/blush wine,rolls/buns,,,,,,,,
pip fruit,soda,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pork,root vegetables,,,,,,,,,
whipped/sour cream,grapes,yogurt,spread cheese,,,,,,,
whole milk,dessert,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
beef,pastry,yogurt,chewing gum,,,,,,,
newspapers,brown bread,,,,,,,,,
canned beer,whole milk,rolls/buns,,,,,,,,
brown bread,white wine,,,,,,,,,
condensed milk,other vegetables,softener,,,,,,,,
ham,misc. beverages,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
whole milk,margarine,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
ham,bathroom cleaner,,,,,,,,,
other vegetables,pastry,,,,,,,,,
other vegetables,berries,,,,,,,,,
frankfurter,bottled water,shopping bags,finished products,yogurt,newspapers,tropical fruit,liquor (appetizer),dog food,,
beverages,waffles,specialty chocolate,,,,,,,,
rolls/buns,soda,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
ham,pastry,,,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
whole milk,butter,,,,,,,,,
cream cheese ,yogurt,sugar,,,,,,,,
pastry,domestic eggs,napkins,,,,,,,,
finished products,whole milk,,,,,,,,,
frankfurter,zwieback,other vegetables,liquor,bottled water,,,,,,
hygiene articles,brown bread,,,,,,,,,
rolls/buns,pork,pastry,other vegetables,soda,pot plants,newspapers,,,,
brown bread,pastry,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
flower (seeds),sliced cheese,soups,,,,,,,,
whole milk,root vegetables,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
meat,ice cream,cleaner,,,,,,,,
photo/film,beverages,bottled beer,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
bottled water,yogurt,,,,,,,,,
hamburger meat,pastry,cereals,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
root vegetables,flour,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
whole milk,newspapers,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
whole milk,white bread,,,,,,,,,
whole milk,butter,,,,,,,,,
pastry,yogurt,,,,,,,,,
salt,cream cheese ,,,,,,,,,
other vegetables,butter,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
rolls/buns,domestic eggs,coffee,,,,,,,,
ice cream,napkins,,,,,,,,,
white bread,UHT-milk,,,,,,,,,
soda,citrus fruit,rolls/buns,,,,,,,,
tropical fruit,frozen meals,fruit/vegetable juice,,,,,,,,
pork,margarine,,,,,,,,,
tropical fruit,whole milk,margarine,bottled beer,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
soda,sliced cheese,butter,,,,,,,,
candy,cake bar,,,,,,,,,
soda,tropical fruit,,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
tropical fruit,other vegetables,soft cheese,,,,,,,,
root vegetables,canned beer,dessert,chewing gum,,,,,,,
bottled water,brown bread,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
whole milk,onions,,,,,,,,,
root vegetables,red/blush wine,salty snack,,,,,,,,
cat food,soda,,,,,,,,,
bottled water,beef,,,,,,,,,
white wine,sugar,,,,,,,,,
tropical fruit,dessert,rolls/buns,long life bakery product,,,,,,,
pip fruit,tropical fruit,frozen potato products,sweet spreads,chocolate,napkins,candles,seasonal products,,,
whole milk,margarine,rolls/buns,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
sausage,white bread,candles,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
white bread,baking powder,,,,,,,,,
butter,berries,,,,,,,,,
citrus fruit,yogurt,soda,,,,,,,,
meat,pip fruit,,,,,,,,,
pork,root vegetables,,,,,,,,,
other vegetables,hard cheese,chocolate,,,,,,,,
citrus fruit,root vegetables,whole milk,chewing gum,coffee,shopping bags,,,,,
tropical fruit,yogurt,,,,,,,,,
curd,margarine,,,,,,,,,
rolls/buns,frozen vegetables,hamburger meat,pork,,,,,,,
other vegetables,whole milk,soda,,,,,,,,
pip fruit,yogurt,whole milk,yogurt,bottled beer,newspapers,,,,,
whipped/sour cream,yogurt,candy,,,,,,,,
beef,fruit/vegetable juice,whole milk,,,,,,,,
pork,whole milk,,,,,,,,,
root vegetables,hygiene articles,soda,,,,,,,,
whole milk,hard cheese,white bread,,,,,,,,
frankfurter,coffee,,,,,,,,,
tropical fruit,other vegetables,rice,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
berries,yogurt,,,,,,,,,
pork,flour,,,,,,,,,
other vegetables,condensed milk,other vegetables,bottled water,pastry,misc. beverages,,,,,
frankfurter,newspapers,,,,,,,,,
chicken,frozen dessert,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
root vegetables,dessert,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
liver loaf,newspapers,white wine,,,,,,,,
yogurt,male cosmetics,sugar,salt,,,,,,,
root vegetables,bottled water,,,,,,,,,
hamburger meat,soda,,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
pork,bottled water,,,,,,,,,
onions,whole milk,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
ham,tropical fruit,,,,,,,,,
margarine,napkins,,,,,,,,,
cling film/bags,domestic eggs,domestic eggs,,,,,,,,
whole milk,bottled beer,,,,,,,,,
meat,pastry,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
whole milk,mustard,,,,,,,,,
beef,jam,flower (seeds),,,,,,,,
other vegetables,canned vegetables,canned beer,,,,,,,,
butter milk,bottled beer,soda,,,,,,,,
curd,rolls/buns,candy,,,,,,,,
sausage,soda,bottled beer,yogurt,,,,,,,
root vegetables,bottled beer,,,,,,,,,
margarine,sausage,snack products,butter,whipped/sour cream,,,,,,
condensed milk,butter,,,,,,,,,
ham,onions,baking powder,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
bottled water,bottled water,,,,,,,,,
whole milk,tropical fruit,liquor (appetizer),soda,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
root vegetables,bottled beer,bottled water,,,,,,,,
margarine,bottled water,,,,,,,,,
whole milk,napkins,,,,,,,,,
candy,tropical fruit,rolls/buns,,,,,,,,
sausage,whipped/sour cream,misc. beverages,,,,,,,,
berries,chocolate marshmallow,,,,,,,,,
shopping bags,other vegetables,coffee,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
whipped/sour cream,sparkling wine,bottled beer,,,,,,,,
dessert,fruit/vegetable juice,napkins,,,,,,,,
other vegetables,candy,,,,,,,,,
specialty bar,bottled water,,,,,,,,,
photo/film,citrus fruit,chewing gum,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
frozen meals,dental care,,,,,,,,,
berries,white wine,,,,,,,,,
coffee,soda,,,,,,,,,
grapes,whole milk,,,,,,,,,
chicken,male cosmetics,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pastry,chewing gum,,,,,,,,,
beef,pip fruit,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
ham,waffles,,,,,,,,,
butter,mayonnaise,,,,,,,,,
rolls/buns,shopping bags,cat food,,,,,,,,
turkey,misc. beverages,bottled beer,butter,bottled water,margarine,seasonal products,,,,
cereals,frozen vegetables,,,,,,,,,
canned fish,salty snack,,,,,,,,,
chicken,waffles,,,,,,,,,
yogurt,misc. beverages,,,,,,,,,
soda,soda,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
pastry,bottled water,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
canned beer,root vegetables,soda,,,,,,,,
photo/film,pork,liquor,,,,,,,,
meat,whole milk,whole milk,yogurt,,,,,,,
citrus fruit,rolls/buns,brandy,candy,,,,,,,
beef,pip fruit,,,,,,,,,
beef,processed cheese,,,,,,,,,
beverages,whole milk,semi-finished bread,domestic eggs,,,,,,,
yogurt,rolls/buns,berries,whole milk,zwieback,brown bread,newspapers,,,,
whole milk,rolls/buns,salty snack,,,,,,,,
other vegetables,newspapers,chewing gum,dessert,,,,,,,
yogurt,berries,,,,,,,,,
dessert,white bread,salty snack,cat food,,,,,,,
semi-finished bread,brown bread,,,,,,,,,
butter,canned beer,domestic eggs,specialty chocolate,specialty chocolate,soda,root vegetables,canned fish,,,
soda,chocolate marshmallow,fruit/vegetable juice,,,,,,,,
bottled beer,nut snack,,,,,,,,,
specialty bar,tropical fruit,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
margarine,frozen vegetables,,,,,,,,,
nuts/prunes,brown bread,newspapers,,,,,,,,
yogurt,oil,,,,,,,,,
processed cheese,tropical fruit,,,,,,,,,
white bread,salty snack,,,,,,,,,
waffles,Instant food products,,,,,,,,,
UHT-milk,bottled beer,domestic eggs,rolls/buns,,,,,,,
whole milk,butter milk,,,,,,,,,
chocolate,beef,,,,,,,,,
curd,soda,sugar,specialty chocolate,artif. sweetener,,,,,,
sugar,dish cleaner,,,,,,,,,
beef,white wine,pip fruit,,,,,,,,
citrus fruit,citrus fruit,soda,,,,,,,,
soda,butter,,,,,,,,,
sausage,beef,,,,,,,,,
beef,whole milk,,,,,,,,,
soda,beef,soda,margarine,,,,,,,
rolls/buns,soda,snack products,long life bakery product,,,,,,,
soda,soda,,,,,,,,,
meat,bottled water,soda,,,,,,,,
other vegetables,pip fruit,UHT-milk,herbs,,,,,,,
soda,whole milk,brandy,,,,,,,,
hygiene articles,potato products,,,,,,,,,
tropical fruit,whipped/sour cream,specialty chocolate,,,,,,,,
oil,shopping bags,,,,,,,,,
ice cream,margarine,,,,,,,,,
hamburger meat,yogurt,bottled water,,,,,,,,
cream cheese ,popcorn,frozen fish,,,,,,,,
citrus fruit,pastry,,,,,,,,,
waffles,napkins,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
citrus fruit,grapes,bottled water,,,,,,,,
shopping bags,whole milk,cling film/bags,bottled beer,newspapers,,,,,,
cat food,pasta,,,,,,,,,
cat food,whole milk,turkey,spread cheese,canned beer,berries,long life bakery product,,,,
rolls/buns,whole milk,,,,,,,,,
meat,other vegetables,canned beer,,,,,,,,
beef,pastry,specialty chocolate,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
pork,semi-finished bread,,,,,,,,,
frozen meals,soups,,,,,,,,,
turkey,newspapers,,,,,,,,,
chocolate,domestic eggs,,,,,,,,,
margarine,soda,whole milk,house keeping products,cling film/bags,bottled water,chocolate,frozen vegetables,,,
chicken,other vegetables,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
whole milk,processed cheese,,,,,,,,,
salty snack,soups,,,,,,,,,
shopping bags,frozen vegetables,,,,,,,,,
male cosmetics,soda,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
canned vegetables,chicken,rolls/buns,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
meat,chocolate,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
meat,other vegetables,,,,,,,,,
frozen vegetables,flour,pickled vegetables,,,,,,,,
whole milk,fruit/vegetable juice,shopping bags,shopping bags,,,,,,,
chicken,nut snack,,,,,,,,,
cream cheese ,frankfurter,root vegetables,yogurt,,,,,,,
ham,Instant food products,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
pork,napkins,,,,,,,,,
beverages,whipped/sour cream,,,,,,,,,
root vegetables,dog food,,,,,,,,,
citrus fruit,frozen dessert,,,,,,,,,
detergent,rolls/buns,,,,,,,,,
pork,whole milk,,,,,,,,,
berries,napkins,,,,,,,,,
yogurt,cream cheese ,,,,,,,,,
root vegetables,rolls/buns,shopping bags,,,,,,,,
whole milk,waffles,dessert,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
onions,root vegetables,,,,,,,,,
beef,hygiene articles,,,,,,,,,
specialty chocolate,butter milk,,,,,,,,,
ham,whole milk,,,,,,,,,
coffee,whipped/sour cream,,,,,,,,,
zwieback,yogurt,,,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
brown bread,napkins,,,,,,,,,
bottled beer,butter,,,,,,,,,
hygiene articles,white bread,,,,,,,,,
citrus fruit,rolls/buns,pastry,,,,,,,,
other vegetables,butter,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
ham,other vegetables,,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
beef,long life bakery product,,,,,,,,,
sausage,chicken,margarine,yogurt,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
tropical fruit,herbs,long life bakery product,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
whole milk,frozen vegetables,soda,UHT-milk,,,,,,,
curd,newspapers,,,,,,,,,
finished products,bottled beer,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
sliced cheese,napkins,,,,,,,,,
packaged fruit/vegetables,whole milk,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
soda,long life bakery product,,,,,,,,,
meat,yogurt,,,,,,,,,
chicken,root vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
UHT-milk,bottled beer,,,,,,,,,
sausage,tropical fruit,yogurt,,,,,,,,
onions,frozen vegetables,,,,,,,,,
dessert,shopping bags,flour,,,,,,,,
yogurt,bottled water,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
tropical fruit,snack products,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
pastry,brown bread,whisky,,,,,,,,
sausage,bathroom cleaner,,,,,,,,,
sliced cheese,pasta,,,,,,,,,
zwieback,white bread,,,,,,,,,
spread cheese,salty snack,soda,domestic eggs,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
sausage,root vegetables,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
turkey,whole milk,,,,,,,,,
whole milk,frozen vegetables,soda,,,,,,,,
whole milk,candy,,,,,,,,,
fruit/vegetable juice,long life bakery product,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
canned beer,hygiene articles,,,,,,,,,
brown bread,pastry,,,,,,,,,
liver loaf,chicken,whole milk,canned beer,fruit/vegetable juice,frozen dessert,light bulbs,condensed milk,,,
pasta,tropical fruit,,,,,,,,,
pip fruit,whole milk,rolls/buns,,,,,,,,
dessert,beef,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
finished products,newspapers,whipped/sour cream,,,,,,,,
long life bakery product,whipped/sour cream,,,,,,,,,
pastry,brown bread,,,,,,,,,
root vegetables,white bread,,,,,,,,,
whole milk,detergent,,,,,,,,,
chocolate,white bread,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
sausage,soda,,,,,,,,,
specialty bar,rolls/buns,,,,,,,,,
ham,seasonal products,cat food,,,,,,,,
root vegetables,yogurt,chocolate,shopping bags,,,,,,,
herbs,canned beer,,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
domestic eggs,whole milk,bottled water,,,,,,,,
salty snack,root vegetables,,,,,,,,,
ham,sugar,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
bottled beer,oil,whole milk,dishes,,,,,,,
canned beer,domestic eggs,,,,,,,,,
citrus fruit,newspapers,candy,,,,,,,,
liver loaf,soda,,,,,,,,,
whole milk,curd,bottled beer,,,,,,,,
pork,sliced cheese,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
whole milk,root vegetables,margarine,,,,,,,,
chicken,brown bread,,,,,,,,,
cream cheese ,frozen vegetables,sugar,coffee,,,,,,,
yogurt,domestic eggs,,,,,,,,,
